link,cpu,ram,hdd,ssd,graphic_ram,screen_size,stock_status,price
https://api.torob.com/v4/base-product/details-log-click/?prk=d4dec4a6-46c6-43ea-8169-09e8452d05ca,Core i5,32 gb,,1 tb,4 gb,15.6 inch,new,36960000
https://api.torob.com/v4/base-product/details-log-click/?prk=00bdfe24-5028-4e26-8afe-1c58ba3744ca,Core i7,16 gb,,1 tb,unified,13.5 inch,stock,51500000
https://api.torob.com/v4/base-product/details-log-click/?prk=5c6f38c3-4c9a-4b86-ac75-6d750bbd8122,Ryzen 5,8 gb,,512 gb,4 gb,15.6 inch,new,32290000
https://api.torob.com/v4/base-product/details-log-click/?prk=26a3847b-1d7a-4f6a-ac55-3c72a622ca95,Core i5,8 gb,,256 gb,unified,14 inch,stock,13000000
https://api.torob.com/v4/base-product/details-log-click/?prk=4cb0d155-ab5c-4621-abc9-4ae5e45ce91d,Core i7,16 gb,,512 gb,2 gb,15.6 inch,new,20900000
https://api.torob.com/v4/base-product/details-log-click/?prk=82ce21d0-8c84-4877-8e0e-c5779678c82a,Ryzen 7,16 gb,,1 tb,4 gb,15.6 inch,new,51451000
https://api.torob.com/v4/base-product/details-log-click/?prk=cb1799c0-8e67-45c7-bb1f-34b602fbc51c,Ryzen 9,16 gb,,1 tb,6 gb,15.6 inch,new,59900000
https://api.torob.com/v4/base-product/details-log-click/?prk=8b4ca041-48cb-47e9-af07-a73a19cef2da,Core i5,8 gb,,256 gb,unified,13.5 inch,new,31500000
https://api.torob.com/v4/base-product/details-log-click/?prk=ea570bb8-eed2-4464-a7f8-6e93de2faac0,Core i7,16 gb,,512 gb,4 gb,15.6 inch,stock,21600000
https://api.torob.com/v4/base-product/details-log-click/?prk=37a9d2b1-5bfd-49ba-b2f5-bcfa5d7dba7f,Core i5,8 gb,256 gb,256 gb,4 gb,15.6 inch,new,30799000
https://api.torob.com/v4/base-product/details-log-click/?prk=8dc50312-9614-4518-bdd4-581ef4b99cbf,Core i7,16 gb,,512 gb,6 gb,15.6 inch,new,56200000
https://api.torob.com/v4/base-product/details-log-click/?prk=698b7d1c-d3cd-4c40-af00-225e4a4b1a80,M2,8 gb,,256 gb,unified,13.3 inch,new,58000000
https://api.torob.com/v4/base-product/details-log-click/?prk=d62cac8e-0365-4b71-be9c-d692faade798,Core i5,16 gb,,512 gb,4 gb,15.6 inch,new,41100000
https://api.torob.com/v4/base-product/details-log-click/?prk=52a43665-4c4d-480c-930e-6ee4583246b5,Core i7,16 gb,,1 tb,4 gb,15.6 inch,new,53979000
https://api.torob.com/v4/base-product/details-log-click/?prk=a260fa90-a4ea-48b4-a484-774470a79ce7,Ryzen 5,8 gb,,512 gb,4 gb,15.6 inch,new,39599000
https://api.torob.com/v4/base-product/details-log-click/?prk=fd6b9ca6-3776-413c-8a47-0440c96549ee,Core i7,512 gb,,,,15.6 inch,new,84000000
https://api.torob.com/v4/base-product/details-log-click/?prk=75905913-dce2-4f73-988b-4226cf19a4b8,Core i7,8 gb,,256 gb,unified,15 inch,new,18900000
https://api.torob.com/v4/base-product/details-log-click/?prk=c5e8cfd0-563d-43a1-b2d4-9326b242f62f,Core i7,16 gb,1 tb,256 gb,4 gb,15.6 inch,new,28600000
https://api.torob.com/v4/base-product/details-log-click/?prk=7d238abd-0403-4816-abfa-3737c53c4c47,Core i9,32 gb,,,16 gb,18 inch,new,330100000
https://api.torob.com/v4/base-product/details-log-click/?prk=e8d33b54-d092-4ae0-948c-f1b21dabd697,Core i7,16 gb,,512 gb,6 gb,15.6 inch,new,62500000
https://api.torob.com/v4/base-product/details-log-click/?prk=9de43509-cf38-4ea8-84b8-161db65d6951,Core i7,16 gb,,1 tb,4 gb,15.6 inch,new,42400000
https://api.torob.com/v4/base-product/details-log-click/?prk=0fd9ef53-4a87-40c1-b46d-d267689552e2,Core i7,16 gb,,1 tb,unified,15.6 inch,new,0
https://api.torob.com/v4/base-product/details-log-click/?prk=e927a622-bf9e-4183-abd9-de9872332968,Ryzen 9,16 gb,,1 tb,4 gb,13.4 inch,new,69590000
https://api.torob.com/v4/base-product/details-log-click/?prk=e60f961c-2680-4c6d-814e-e754e9a97910,Core i5,12 gb,1 tb,512 gb,2 gb,15.6 inch,new,24150000
https://api.torob.com/v4/base-product/details-log-click/?prk=33ee6cef-7e7a-4261-b33e-c68d24f7aacc,Ryzen 7,16 gb,,1 tb,6 gb,16 inch,new,62979000
https://api.torob.com/v4/base-product/details-log-click/?prk=f3f4d582-20ce-406e-8d18-ec0b4491aaef,Core i5,8 gb,,512 gb,unified,13 inch,new,25900000
https://api.torob.com/v4/base-product/details-log-click/?prk=9791dfaf-be80-4833-86cd-8891540b28c9,M2,8 gb,,256 gb,unified,13.6 inch,new,56000000
https://api.torob.com/v4/base-product/details-log-click/?prk=bbda453a-58c3-46ae-afe2-6247b4d30aaf,Core i7,16 gb,,256 gb,6 gb,15 inch,new,56000000
https://api.torob.com/v4/base-product/details-log-click/?prk=a494ba2b-5627-47a0-ad9f-c859bb58a1ec,Core i7,16 gb,,512 gb,2 gb,15.6 inch,new,29700000
https://api.torob.com/v4/base-product/details-log-click/?prk=aaf218ca-35be-4ed4-bfac-6614823a355e,Ryzen 7,16 gb,,1 tb,6 gb,15.6 inch,new,51300000
https://api.torob.com/v4/base-product/details-log-click/?prk=f0162cbd-523b-45ea-9788-ed371d430dd5,Core i3,12 gb,1 tb,512 gb,unified,15.6 inch,new,16379000
https://api.torob.com/v4/base-product/details-log-click/?prk=e169bdb6-c9bc-4430-8443-a9d5649bed5d,Core i7,16 gb,,512 gb,6 gb,15.6 inch,new,58899000
https://api.torob.com/v4/base-product/details-log-click/?prk=10e23b6c-ddfa-4620-866a-6ffa882d8470,Core i7,16 gb,,512 gb,6 gb,15.6 inch,new,51299000
